Community1,Community2
New Springville-Willowbrook-Bulls Head-Travis,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
New Springville-Willowbrook-Bulls Head-Travis,Freshkills Park (North)
New Springville-Willowbrook-Bulls Head-Travis,Freshkills Park (South)
Freshkills Park (North),Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
Freshkills Park (North),New Springville-Willowbrook-Bulls Head-Travis
Freshkills Park (North),Great Kills-Eltingville
Freshkills Park (North),Arden Heights-Rossville
Freshkills Park (North),Freshkills Park (South)
Oakwood-Richmondtown,New Dorp-Midland Beach
Oakwood-Richmondtown,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
Oakwood-Richmondtown,Great Kills-Eltingville
Oakwood-Richmondtown,Great Kills Park
Great Kills-Eltingville,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
Great Kills-Eltingville,Freshkills Park (North)
Great Kills-Eltingville,Oakwood-Richmondtown
Great Kills-Eltingville,Arden Heights-Rossville
Great Kills-Eltingville,Annadale-Huguenot-Prince's Bay-Woodrow
Great Kills-Eltingville,Great Kills Park
Arden Heights-Rossville,Freshkills Park (North)
Arden Heights-Rossville,Great Kills-Eltingville
Arden Heights-Rossville,Annadale-Huguenot-Prince's Bay-Woodrow
Arden Heights-Rossville,Tottenville-Charleston
Arden Heights-Rossville,Freshkills Park (South)
Annadale-Huguenot-Prince's Bay-Woodrow,Great Kills-Eltingville
Annadale-Huguenot-Prince's Bay-Woodrow,Arden Heights-Rossville
Annadale-Huguenot-Prince's Bay-Woodrow,Tottenville-Charleston
Tottenville-Charleston,Arden Heights-Rossville
Tottenville-Charleston,Annadale-Huguenot-Prince's Bay-Woodrow
Tottenville-Charleston,Freshkills Park (South)
Freshkills Park (South),New Springville-Willowbrook-Bulls Head-Travis
Freshkills Park (South),Freshkills Park (North)
Freshkills Park (South),Arden Heights-Rossville
Freshkills Park (South),Tottenville-Charleston
Fort Wadsworth,Rosebank-Shore Acres-Park Hill
Fort Wadsworth,Grasmere-Arrochar-South Beach-Dongan Hills
Miller Field,New Dorp-Midland Beach
Great Kills Park,Oakwood-Richmondtown
Great Kills Park,Great Kills-Eltingville
